image,mel,nv,bcc,akiec,bkl,df,vasc
ISIC_0024312,0.10932467972594508,0.42740828128080915,0.05535170292404499,0.06458813618420121,0.3323285945987527,0.006492110284448634,0.004506495001798237
ISIC_0024317,0.1470863485276871,0.6572771591537367,0.015512100432188656,0.0049165597971164345,0.1613056213846473,0.004756364729423225,0.009145845975200446
ISIC_0024318,0.12431252725890977,0.2074265365745329,0.18126663087458256,0.05253948288040969,0.3838229648687771,0.039347133942829675,0.011284723599958238
ISIC_0024324,0.0796546490524484,0.5960838671489259,0.060903500268534895,0.009406735526772746,0.14382460961300417,0.01912346309160781,0.09100317529870611
ISIC_0024328,0.05421518677255187,0.6156284728051518,0.05928604663483788,0.0025958081663232852,0.17634229058973905,0.027653792780591515,0.06427840225080463
ISIC_0024330,0.10933069301279616,0.4679808749706133,0.04129564860336939,0.012244299061582253,0.34687835381381044,0.018886514725703563,0.0033836158121243447
ISIC_0024332,0.06011489124099722,0.4761910731405295,0.13799470138520048,0.014343997450524002,0.17306368797151858,0.015555475029928953,0.1227361737813012
ISIC_0024340,0.16219569097228115,0.5721654756399198,0.06026109101575288,0.007227823828582959,0.12784123512935572,0.01023171074924814,0.060076972664859146
ISIC_0024342,0.054116082425308264,0.48226202141143426,0.08941042628297989,0.0076585313447825685,0.31011581248400344,0.028875842921144774,0.027561283130346028
ISIC_0024346,0.22382231455845408,0.4628266154984721,0.019753009677987213,0.020988630405714775,0.25973454444529126,0.0026649959085774037,0.01020988950550353
ISIC_0024349,0.030896127805990495,0.6556167746721556,0.06554929620616114,0.009124024127793652,0.1612290906856356,0.005200074215059456,0.07238461228720408
ISIC_0024351,0.034244319454621135,0.8770309347822447,0.007033702402577064,0.0038119958141241816,0.049474372831603025,0.0007597792011947434,0.027644895513635095
ISIC_0024358,0.21165087938341673,0.4079186831321334,0.11287049053409819,0.034284579357865,0.2223883493731425,0.0034389596410857475,0.007448058578258069
ISIC_0024366,0.08795776490979498,0.5406418884182213,0.1281898530779901,0.013421240756092155,0.20344814356440635,0.01019269406665629,0.016148415206839073
ISIC_0024367,0.08275766667551004,0.36243624708408884,0.12258818314324862,0.015378260150774469,0.3065112937410781,0.04001572924483425,0.07031261996046559
ISIC_0024375,0.24372650813000143,0.4907070638867066,0.02628092217639279,0.015600403546458337,0.14235577939571087,0.008102621127521697,0.07322670173720827
ISIC_0024376,0.5340512587319757,0.12211817590003352,0.0186911529206985,0.05235786838049161,0.26694422483303015,0.001437934983261206,0.004399384250509213
ISIC_0024382,0.09606611758823216,0.6296942999219384,0.07119162151299403,0.01503299327836926,0.1705643240483394,0.005879783485779051,0.011570860164348135
ISIC_0024385,0.07208556530622368,0.42037460563400936,0.09548807545400241,0.01817152405969824,0.2806255532138101,0.021001947169462812,0.09225272916279334
ISIC_0024393,0.07313727833161791,0.5210314863424206,0.054969685786239744,0.009464999912440755,0.1610506611221528,0.01760676473651104,0.1627391237686171
ISIC_0024396,0.037119199624196984,0.879674234343689,0.005870337477193868,0.0005739752841446746,0.03669426564357424,0.004018390215498125,0.036049597411703396
ISIC_0024407,0.0397328980358978,0.4495086294218813,0.04530542683200125,0.01683461559350649,0.4368265585015199,0.007414900695231061,0.0043769709199617075
ISIC_0024409,0.2631339566777183,0.298850093002865,0.09863306895097314,0.07568871933255425,0.07415209058561786,0.007630167580919191,0.18191190386935235
ISIC_0024414,0.18550434334319407,0.3295227040164003,0.14296347825580766,0.1052825336997442,0.2103580610442337,0.014546876380407199,0.011822003260212812
ISIC_0024425,0.11068532386845342,0.7549088630812315,0.007745108535625618,0.002096006883304399,0.08906649266755493,0.003706961716603333,0.03179124324722682
ISIC_0024428,0.009692007311381165,0.5889511228975021,0.006671822631992779,0.0010870737785248082,0.28234784430432613,0.10910049318417876,0.0021496358920947037
ISIC_0024443,0.022122225440381213,0.3684492817740868,0.028116804627859534,0.0025104793540474545,0.5255886877134182,0.04943919470761483,0.0037733263825920774
ISIC_0024452,0.08623154781730803,0.7653128135535371,0.015490880009143473,0.005935678340671531,0.040417197931108734,0.0018986571329643893,0.08471322521526592
ISIC_0024456,0.09001284330673356,0.7311223337803466,0.014798251520007688,0.0032730825429698527,0.06652583147047875,0.005506708080244689,0.088760949299219
ISIC_0024457,0.22935597117936243,0.45085325959081,0.033861159771418486,0.020902932780226324,0.2556785160083629,0.006871185108832159,0.00247697556098786
ISIC_0024461,0.09389861250111083,0.44850870915957647,0.1728486817535402,0.01692806192334247,0.2012456893300951,0.007281209263798886,0.05928903606853595
ISIC_0024464,0.06989227887602414,0.7062391057287777,0.05271944139973939,0.019404073607452343,0.11646431240531309,0.014228208663313877,0.02105257931937892
ISIC_0024466,0.030631019242042534,0.4285729437622142,0.03620092332440069,0.004839989318426673,0.44911666682684614,0.04791184216919796,0.002726615356872087
ISIC_0024468,0.07938835585388501,0.19109720612089592,0.04875989087988881,0.03524254091744112,0.6281040294968909,0.016063704257775823,0.0013442724732218624
ISIC_0024470,0.052808850954282706,0.5526799810933812,0.15874237349297643,0.019822594842096468,0.16812384969299338,0.024981554390710394,0.0228407955335594
ISIC_0024475,0.03464552017734477,0.3996454343682983,0.13747873823535264,0.012227213725823973,0.3484932326622015,0.06164168527844315,0.005868175552535143
ISIC_0024476,0.11820574643482723,0.5823099088787594,0.07973164760821326,0.011527985752839776,0.17916891970912352,0.008508500568687708,0.020547291047549147
ISIC_0024479,0.11440059247075582,0.655918212414575,0.03551127999319673,0.029248503165045653,0.14722522529183935,0.005903142292333245,0.011793044372254032
ISIC_0024492,0.3876396412484985,0.3456222222779648,0.009240270517033744,0.06288105235426761,0.18475817917704068,0.0017759719598551813,0.008082662465339525
ISIC_0024498,0.39728881949981937,0.21291478207226175,0.05068809573891905,0.017014056483846986,0.29257714024636733,0.024710491165316085,0.004806614793469342
